"1_1_1" "2_1_1" "3_1_1" "1_2_1" "2_2_1" "3_2_1" "1_3_1" "2_3_1" "3_3_1" "1_4_1" "2_4_1" "3_4_1" "1_1_2" "2_1_2" "3_1_2" "1_2_2" "2_2_2" "3_2_2" "1_3_2" "2_3_2" "3_3_2" "1_4_2" "2_4_2" "3_4_2" "1_1_3" "2_1_3" "3_1_3" "1_2_3" "2_2_3" "3_2_3" "1_3_3" "2_3_3" "3_3_3" "1_4_3" "2_4_3" "3_4_3"
"3_3_2" 0.034269857625617 0.0292076319675187 0.0880670062265937 0.00925843800731338 0.218618441679808 0.077004453801943 0.071911824746497 0.0792545557037669 0.111549651176461 3.46328953223419e-07 0.0870315676613733 0.135682077922723 3.14008086008323e-06 0.0412317041324788 0.100752066331454 0.0143259105965708 0.0671460103448804 0.0482311212743238 0.216399691735616 0.0522713896581011 0.107385037503147 0.177624056976054 0.0507015621201819 0.113765688413303 0.0985702117428655 1.56059413875055e-07 0.0384278533703067 0.0143259105965708 0.0829212061151075 0.144689521305067 0.125461122587457 0.143557001791901 0.0788783218195039 0.11800297751368 0.0769690015593476 0.116741826640101
"1_4_2" 0.0153038464560221 0.0162871997841065 0.0360649350624686 0.00981967547123258 0.0174191744943265 0.00734570245262466 0.00775656183277877 0.0115804695629457 0.0155737213234666 5.3316805378729e-08 0.0162536166960874 0.00273377477733037 1.40226189052754e-06 0.0229922440611299 0.0412596826591815 0.0151943332965123 0.0053500887747996 0.00460092174342126 0.0233413294052635 0.00763775951518888 0.0149922893594572 0.0273449481720436 0.00946879136775616 0.00229219491823413 0.0440183732926505 8.70242015785542e-08 0.0157368587371337 0.0151943332965123 0.00660703162780104 0.0138023986801255 0.0135325025945312 0.0209761757546492 0.0110123966280846 0.0181663754290525 0.0143743779693103 0.00235215929778103
"2_4_2" 0.109067102716624 0.116075242712613 0.257026753909885 0.0699826384394623 0.124142574173823 0.0523511841437033 0.0552792873722693 0.0825314254790845 0.110990440746236 3.79976988495977e-07 0.115835903529418 0.0194830035246388 9.99360795269826e-06 0.163860598830967 0.294048562207934 0.108286626837479 0.0381288902512814 0.0327897437956465 0.166348452273231 0.0544326097338871 0.106846704730355 0.194881350883357 0.0674819656402764 0.0163359622897412 0.313709135485938 6.20202088388406e-07 0.112153084732798 0.108286626837479 0.0470868418127524 0.0983666190658019 0.096443129819166 0.149492529359117 0.0784828962864349 0.129467708696827 0.102442987975055 0.0167633150576989
"3_4_2" 0.0679442949139361 0.0723100763349642 0.160117039267085 0.0435962898669851 0.0773356902397641 0.032612622926229 0.0344367101564275 0.0514136652826274 0.0691424549736441 2.36709951248617e-07 0.0721609779208467 0.0121371055461762 6.22560450474762e-06 0.102078377204829 0.183180094932782 0.0674580907150068 0.0237527219431611 0.0204266544825366 0.103628207023111 0.0339092649990298 0.0665610787850785 0.12140302298162 0.0420384741194394 0.0101766289914286 0.195427819092546 3.86360254834916e-07 0.0698667341003034 0.0674580907150068 0.0293331553420266 0.0612783360795643 0.0600800818179033 0.0931276640638029 0.0488915990079987 0.0806530288457729 0.0638177453464252 0.0104428520942265
"1_1_3" 0.00359114276118621 0.0138601704029541 1.08429511101216e-07 0.0222239471405862 9.50666259680691e-08 7.78694954434146e-07 0.0157392769028509 0.0172837639689564 0.0334962369475202 3.13370681397207e-07 6.11375564867503e-08 0.00279835903034099 0.0192371116975225 0.00659634769449784 7.99413515227483e-08 0.0102009888552363 2.98925708990195e-07 5.58688829514966e-07 3.98683408773449e-07 0.0260873639702653 0.0412323429691173 8.08767408474137e-13 1.40746159050038e-07 0.00682405644375326 1.29002624545811e-07 0.0446610435611654 2.59273674276269e-07 0.0102009888552363 2.77692026665016e-07 2.22550479169448e-11 0.0190272397557772 0.00590521012015557 0.0541825335644177 1.5669505216293e-07 8.98842030978595e-08 0.00627738895291392
"2_1_3" 0.00627619061437551 0.0242232284210087 1.89500759270843e-07 0.0388404855317007 1.66146629448966e-07 1.36091441902656e-06 0.0275073169026843 0.0302065956206137 0.0585409107705544 5.476736126068e-07 1.06849263235987e-07 0.00489065343536432 0.0336204344724527 0.0115283457780692 1.39712396162674e-07 0.0178281273589456 5.22428333798708e-07 9.76412752524502e-07 6.96773488176404e-07 0.0455925257758047 0.0720611964382074 1.41347163168793e-12 2.45980118637073e-07 0.0119263092147598 2.25456105548082e-07 0.0780534891167107 4.53129020275949e-07 0.0178281273589456 4.85318520410533e-07 3.88948399290784e-11 0.0332536441779428 0.0103204541831674 0.0946940657151033 2.738537788955e-07 1.57089380561709e-07 0.0109709059898385
"3_1_3" 0.00252278234471279 0.009736787288215 7.61718690798112e-08 0.0156123510549554 6.67844253243886e-08 5.47034193181029e-07 0.0110568619878376 0.012141866110793 0.0235311489420173 2.20143301158641e-07 4.29492109783761e-08 0.00196585076823288 0.0135140953677227 0.00463394262214439 5.61589008417621e-08 0.00716620760966389 2.09995689720817e-07 3.9247961137113e-07 2.80075600350497e-07 0.0183264062781349 0.0289657732346102 5.68160130287806e-13 9.88743552540606e-08 0.00479390830732045 9.06245073694275e-08 0.031374439749463 1.8214008503993e-07 0.00716620760966389 1.9507900095473e-07 1.56341993897954e-11 0.0133666600624466 0.00414841759953505 0.0380632985537367 1.10078472895328e-07 6.31437666847187e-08 0.00440987370161673
"1_2_3" 1.09992726433544e-07 4.84842443960157e-08 1.24306463463147e-07 1.55409945108283e-07 0.000437912432864777 8.92716520799839e-07 0.00743313009443217 0.00369266946538825 0.000383515374003995 3.59256449299683e-07 0.00900669909987414 0.00177474191318429 5.89211430741949e-07 2.30746754508129e-08 9.1646882765901e-08 7.13345432300494e-08 0.00137696360985497 6.40495671962793e-07 1.8828473901288e-07 0.00557355518962716 0.000472089968184701 9.2719237863046e-13 0.0207345268092526 0.00432787174817539 3.95120754993034e-12 1.56228739477773e-07 2.97238207486647e-07 7.13345432300494e-08 0.00127915332794994 2.55137763941026e-11 0.00898592415112957 0.0012616458507861 0.000620363256236759 1.7963935812977e-07 0.01324161477258 0.00398117080735664
"2_2_3" 9.74873986861044e-08 4.29719583893089e-08 1.10173773810518e-07 1.37741028609837e-07 0.000388125154421766 7.91221512537623e-07 0.00658804032318812 0.00327284132379251 0.000339912623134831 3.18411751749719e-07 0.00798270662493037 0.00157296739580384 5.22222618909761e-07 2.04512621712761e-08 8.12273364633441e-08 6.32243538408932e-08 0.00122041342880333 5.67676236001719e-07 1.6687821107651e-07 0.00493988479500482 0.000418416966615865 8.21777730265437e-13 0.0183771704471986 0.00383582598829036 3.50198561487911e-12 1.38466732351608e-07 2.63444507446601e-07 6.32243538408932e-08 0.00113372342431984 2.26130560807833e-11 0.00796429362821128 0.00111820641277189 0.000549832721234548 1.59215743563676e-07 0.0117361449292036 0.00352854228019112
"3_2_3" 1.23544611137387e-07 5.44578474815319e-08 1.39621902178205e-07 1.74557553556834e-07 0.000491866353210122 1.00270553330427e-06 0.00834894448775273 0.00414763255673937 0.000430767190548369 4.03519394113246e-07 0.0101163883649861 0.00199340271527907 6.61806461654522e-07 2.59176392669426e-08 1.02938429297939e-07 8.01234653397219e-08 0.001546615301264 7.19409285446086e-07 2.11482755439334e-07 0.00626025675407987 0.00053025480349811 1.04142906155398e-12 0.0232891677006892 0.00486109626988709 4.43802436858573e-12 1.75477229205034e-07 3.33860064658901e-07 8.01234653397219e-08 0.00143675409830077 2.86572547609327e-11 0.0100930537950807 0.00141708957566972 0.000696796413188284 2.01772202260312e-07 0.0148730757110369 0.00447167931202763
"1_3_3" 0.0101494353456944 0.00351525432573683 0.0054139037442761 0.0117657713400231 0.00724942155614123 0.0173863936641486 0.0125953513023802 0.0235230932665285 0.00701222525483295 0.0224589245178232 0.00769761793780841 0.00436815318688753 0.0543687161429951 0.00167298374356246 0.00399148514030923 0.00540059340285437 0.0227949446650834 0.0124741837229037 3.19046270227477e-07 0.0355047370961915 0.00863173009962193 5.79634511384702e-08 0.017720861297687 0.0106521441956106 3.64592522303433e-07 0.0113270560177851 0.0129455782074514 0.00540059340285437 0.0211757443116796 4.96901927892506e-07 0.015226542522752 0.00803695356314534 0.0113427705573767 0.0112301582686446 0.0113170086253226 0.00979881289809416
"2_3_3" 0.0970768742870012 0.0336225504812106 0.0517826692110487 0.112536733952354 0.0693389495167874 0.166296615974295 0.120471464011097 0.22499265132468 0.0670702247316974 0.214814136725634 0.0736258386211603 0.0417803201209352 0.520023512874362 0.0160016815740304 0.0381775821005266 0.0516553590408861 0.218028087500474 0.119312525658385 3.05159977985854e-06 0.339594153003022 0.0825603936790236 5.54406276581395e-07 0.169495717333944 0.101885161858091 3.48723857516329e-06 0.108340528869601 0.123821298960285 0.0516553590408861 0.202540830939001 4.75274577786763e-06 0.145638166455629 0.0768715011353718 0.108490834609028 0.107413725526201 0.108244428010609 0.0937232560699716
"3_3_3" 0.0283502934920195 0.00981911687097037 0.0151225910466914 0.0328651850362446 0.0202497204784072 0.0485652005611827 0.0351824405885842 0.0657067684291561 0.0195871629539471 0.0627342388919706 0.0215016619440687 0.0122015088178178 0.151867469168331 0.00467312500862367 0.0111493665748417 0.015085411432956 0.0636728398554321 0.034843984672282 8.9118804055639e-07 0.099174947447794 0.0241109060093667 1.61908598421003e-07 0.0494994649070723 0.0297545039678473 1.01841182885932e-06 0.0316397268978105 0.0361607251147065 0.015085411432956 0.0591499473320708 1.38799007163281e-06 0.0425321148108859 0.0224495239918506 0.031683622128859 0.0313690636014512 0.0316116616394546 0.0273709041017937
"1_4_3" 0.00276646745002634 0.015409880969332 0.0157882465103081 0.0351971346571475 0.0104403292972916 0.0166095020076009 0.00734177570079001 0.00560569308525331 0.00792678005165808 0.0269688358153198 0.00900449712074537 0.00197311237569948 0.0148194730432097 0.00733388766871685 0.0116401314678084 0.0161557969924303 0.0328283748950155 0.0119167887021898 1.85970688546109e-07 0.00846099009933609 0.00975750542494655 6.96029231409621e-08 0.0207294575830275 0.00481161640649115 9.93782719058689e-08 0.0496546106747018 0.0377524222099085 0.0161557969924303 0.0304964667893948 4.74698418104378e-07 0.00887548566267157 0.00191525385309474 0.0128221276580896 0.0134852536810826 0.0132383774312369 0.0044261632248684
"2_4_3" 0.0207379779843975 0.115515464416959 0.118351766090685 0.263844565974145 0.0782627386832372 0.124508057003221 0.0550353783659802 0.0420213654739244 0.0594206847425158 0.202163637745895 0.0674994614698287 0.014790834068049 0.111089651789516 0.0549762481436195 0.0872566890720528 0.121106995980099 0.246087882158128 0.0893305655009158 1.39407244599091e-06 0.063425227144663 0.0731441581513111 5.21757047144452e-07 0.155392045180663 0.0360688122704026 7.44958851726868e-07 0.37222061766387 0.282999498381703 0.121106995980099 0.22860744552565 3.55843165397923e-06 0.0665323664919919 0.01435711533119 0.0961171623703957 0.101088083993052 0.0992374516156054 0.0331793802640971
"3_4_3" 0.0151944668098576 0.084636790116631 0.0867149142074464 0.193315737130767 0.0573421664477457 0.0912255544450208 0.0403237591716508 0.0307885485980754 0.0435368203601359 0.148122863579138 0.0494560428098734 0.0108370660585215 0.0813940504857506 0.040280435169581 0.0639319256217201 0.0887336379778993 0.18030562866703 0.0654514299142704 1.02142009828936e-06 0.0464709003685086 0.0535918441133093 3.82285107140642e-07 0.113853880778053 0.0264271845271485 5.45822382287691e-07 0.272721565491752 0.207350325504363 0.0887336379778993 0.167497923189001 2.60722003380528e-06 0.048747463962226 0.010519285561456 0.0704238877384024 0.0740660221676452 0.0727100861039888 0.024310132481275
